Kimice | [{'Kimice': ['4d', '4c']}, {'Hanson': ['5c', '7d']}] | ['7c', '9d', 'Ah', 'Qd', '3d'] | Hanson
Kimice | [{'Kimice': ['Ad', 'Ac']}, {'Hanson': ['3c', '8d']}] | ['9c', 'Qs', '7d', 'Jc', '6c'] | Kimice
Kimice | [{'Kimice': ['Jc', '6h']}, {'Hanson': ['9d', '4s']}] | ['4d', '2h', '3h', '4h', 'Ac'] | Hanson
Kimice | [{'Kimice': ['3c', 'Kd']}, {'Hanson': ['2c', '4c']}] | ['Ks', 'Th', '2s', 'Js', 'Ad'] | Kimice
Kimice | [{'Kimice': ['3c', 'As']}, {'Hanson': ['Kh', '5s']}] | ['2h', '5h', '9d', '8h', '7d'] | Hanson
Hanson | [{'Kimice': ['Ts', '2c']}, {'Hanson': ['As', 'Ad']}] | ['4d', 'Jh', '6s', '8c', '2h'] | Hanson
Kimice | [{'Kimice': ['6d', 'Ks']}, {'Hanson': ['7d', '2c']}] | ['Qh', '9c', 'As', '3s', '5h'] | Kimice
Kimice | [{'Kimice': ['Jc', '9d']}, {'Hanson': ['3h', 'Th']}] | ['Ah', '6s', '8d', 'Kc', 'Qc'] | Kimice
Hanson | [{'Kimice': ['8d', '9c']}, {'Hanson': ['Qh', 'Js']}] | ['2s', '4h', '4d', 'Ks', 'Jd'] | Hanson
Hanson | [{'Kimice': ['Tc', '9s']}, {'Hanson': ['Kh', '2c']}] | ['7d', '3s', 'Qh', '7s', '8c'] | Hanson
Kimice | [{'Kimice': ['Jd', '7d']}, {'Hanson': ['Th', 'Qd']}] | ['2c', 'Tc', '3s', '5s', 'Ks'] | Hanson
Kimice | [{'Kimice': ['Qd', 'Qs']}, {'Hanson': ['9c', 'Jh']}] | ['8s', '3h', '4s', '2d', '3d'] | Kimice
Hanson | [{'Kimice': ['Js', '4s']}, {'Hanson': ['Kh', 'Kd']}] | ['Kc', 'Qc', '3s', '7s', '8c'] | Hanson
Kimice | [{'Kimice': ['Qh', 'Th']}, {'Hanson': ['7c', 'Jc']}] | ['5h', '5c', '2s', 'Td', '3c'] | Kimice
Kimice | [{'Kimice': ['Qh', '8c']}, {'Hanson': ['9c', '8d']}] | ['5s', '4s', '2d', 'Jh', '6d'] | Kimice
Hanson | [{'Kimice': ['4c', '7d']}, {'Hanson': ['8h', 'Ah']}] | ['Kh', '3d', '6d', '5d', 'Jd'] | Kimice
Hanson | [{'Kimice': ['9s', 'Jd']}, {'Hanson': ['Ah', '3h']}] | ['3s', '5d', '4c', '8c', 'Ac'] | Hanson
Hanson | [{'Kimice': ['6d', '8c']}, {'Hanson': ['7c', '3c']}] | ['Td', 'Th', '5s', 'Kh', 'Qs'] | Kimice
