2015-01-26 17:28:35+0800 [scrapy] INFO: Scrapy 0.24.4 started (bot: douban)
2015-01-26 17:28:35+0800 [scrapy] INFO: Optional features available: ssl, http11, django
2015-01-26 17:28:35+0800 [scrapy] INFO: Overridden settings: {'NEWSPIDER_MODULE': 'douban.spiders', 'FEED_URI': 'group.json', 'SPIDER_MODULES': ['douban.spiders'], 'BOT_NAME': 'douban', 'FEED_FORMAT': 'json', 'LOG_FILE': 'group.log'}
2015-01-26 17:28:35+0800 [scrapy] INFO: Enabled extensions: FeedExporter, LogStats, TelnetConsole, CloseSpider, WebService, CoreStats, SpiderState
2015-01-26 17:28:35+0800 [scrapy] INFO: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, MetaRefreshMiddleware, HttpCompressionMiddleware, RedirectMiddleware, CookiesMiddleware, ChunkedTransferMiddleware, DownloaderStats
2015-01-26 17:28:35+0800 [scrapy] INFO: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2015-01-26 17:28:35+0800 [scrapy] INFO: Enabled item pipelines: 
2015-01-26 17:28:35+0800 [Group] INFO: Spider opened
2015-01-26 17:28:35+0800 [Group] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2015-01-26 17:28:35+0800 [scrapy] DEBUG: Telnet console listening on 127.0.0.1:6023
2015-01-26 17:28:35+0800 [scrapy] DEBUG: Web service listening on 127.0.0.1:6080
2015-01-26 17:28:35+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E6%83%85%E6%84%9F> (referer: None)
2015-01-26 17:28:35+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9> (referer: None)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E5%AD%A6%E6%9C%AF> (referer: None)
2015-01-26 17:28:36+0800 [Group] DEBUG: Filtered duplicate request: <GET http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E5%85%B4%E8%B6%A3> (referer: None)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E7%A4%BE%E4%BC%9A> (referer: None)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E9%97%B2%E8%81%8A> (referer: None)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E8%89%BA%E6%9C%AF> (referer: None)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB> (referer: None)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/blackeye/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/withoutyou/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/wgyh/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/tangguohe/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/kaopulove/> (referer: http://www.douban.com/group/explore?tag=%E6%83%85%E6%84%9F)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E7%9B%B4%E6%92%AD> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:36+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/sheying1/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/explore?tag=%E7%AC%91%E8%AF%9D> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/macintosh/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/classicgoods/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/41659/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/17882/> (referer: http://www.douban.com/group/explore?tag=%E5%AD%A6%E6%9C%AF)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/Englishtrans/> (referer: http://www.douban.com/group/explore?tag=%E5%AD%A6%E6%9C%AF)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/brands/> (referer: http://www.douban.com/group/explore?tag=%E8%B4%AD%E7%89%A9)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/10036/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/cat/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/loveface/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/LifeTips/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/litterature/> (referer: http://www.douban.com/group/explore?tag=%E5%AD%A6%E6%9C%AF)
2015-01-26 17:28:37+0800 [Group] DEBUG: Crawled (200) <GET http://www.douban.com/group/youpifu/> (referer: http://www.douban.com/group/explore?tag=%E7%94%9F%E6%B4%BB)
